Model,Year,Mileage,HorsePower,Fuel,Transmission,Price
BMW 3,2016,124945,140 kW (190 CP),Diesel,automata,17950
BMW 3,2014,84100,135 kW (184 CP),Diesel,automata,18990
BMW 3,2007,98058,95 kW (129 CP),Benzina,manuala,6990
BMW 3,2009,155000,125 kW (170 CP),Benzina,manuala,10900
BMW 3,2009,210890,145 kW (197 CP),Diesel,automata,8900
BMW 3,2014,159800,135 kW (184 CP),Diesel,automata,19700
BMW 3,2007,159968,130 kW (177 CP),Diesel,manuala,6099
BMW 3,2008,124998,105 kW (143 CP),Benzina,manuala,7499
BMW 3,2013,141949,135 kW (184 CP),Benzina,manuala,14480
BMW 3,2008,160600,105 kW (143 CP),Benzina,manuala,3900
BMW 3,2013,99000,105 kW (143 CP),Diesel,manuala,15999
BMW 3,2007,162000,90 kW (122 CP),Diesel,manuala,6100
BMW 3,2009,131369,105 kW (143 CP),Benzina,automata,8999
BMW 3,2007,119400,95 kW (129 CP),Benzina,manuala,5490
BMW 3,2009,93000,105 kW (143 CP),Benzina,manuala,9490
BMW 3,2008,200000,130 kW (177 CP),Diesel,manuala,6590
BMW 3,2010,92500,105 kW (143 CP),Benzina,manuala,9999
BMW 3,2009,185000,125 kW (170 CP),Benzina,manuala,9200
BMW 3,2013,58000,135 kW (184 CP),Diesel,manuala,23100
BMW 3,2017,28155,140 kW (190 CP),Diesel,automata,26600
BMW 3,2009,138890,130 kW (177 CP),Diesel,manuala,9500
BMW 3,2007,177000,120 kW (163 CP),Diesel,manuala,6490
BMW 3,2010,160000,105 kW (143 CP),Benzina,manuala,7948
BMW 3,2013,129990,225 kW (306 CP),Benzina,automata,23990
BMW 3,2014,48000,100 kW (136 CP),Benzina,manuala,18890
BMW 3,2018,25000,240 kW (326 CP),Benzina,automata,36900
BMW 3,2011,144805,120 kW (163 CP),Diesel,manuala,8900
BMW 3,2012,207000,135 kW (184 CP),Diesel,automata,13490
BMW 3,2014,70000,135 kW (184 CP),Benzina,manuala,14490
BMW 3,2011,87800,105 kW (143 CP),Diesel,manuala,9985
BMW 3,2013,290300,105 kW (143 CP),Diesel,manuala,9990
BMW 3,2014,193000,105 kW (143 CP),Diesel,automata,12900
BMW 3,2008,187000,125 kW (170 CP),Benzina,manuala,5899
BMW 3,2009,63611,125 kW (170 CP),Benzina,manuala,12890
BMW 3,2009,165000,125 kW (170 CP),Benzina,automata,10950
BMW 3,2016,32000,140 kW (190 CP),Diesel,manuala,25950
BMW 3,2008,86150,105 kW (143 CP),Benzina,automata,9900
BMW 3,2015,119500,135 kW (184 CP),Diesel,manuala,14740
BMW 3,2011,86700,135 kW (184 CP),Diesel,automata,13850
BMW 3,2013,102000,135 kW (184 CP),Diesel,automata,14500
BMW 3,2012,236408,135 kW (184 CP),Benzina,automata,11038
BMW 3,2010,81000,105 kW (143 CP),Benzina,manuala,8990
BMW 3,2012,39100,135 kW (184 CP),Diesel,automata,16500
BMW 3,2014,132000,190 kW (258 CP),Diesel,automata,21000
BMW 3,2016,163000,140 kW (190 CP),Diesel,automata,21840
BMW 3,2007,89000,105 kW (143 CP),Benzina,manuala,9850
BMW 3,2017,20000,120 kW (163 CP),Diesel,automata,24499
BMW 3,2012,113000,105 kW (143 CP),Diesel,manuala,11490
BMW 3,2015,99000,135 kW (184 CP),Diesel,automata,17499
BMW 3,2014,98911,135 kW (184 CP),Diesel,automata,18999
BMW 3,2010,211000,85 kW (116 CP),Diesel,manuala,5990
BMW 3,2013,99671,135 kW (184 CP),Benzina,automata,15900
BMW 3,2011,112000,105 kW (143 CP),Benzina,manuala,11350
BMW 3,2016,78644,121 kW (165 CP),Diesel,manuala,18451
BMW 3,2014,78900,135 kW (184 CP),Diesel,manuala,19999
BMW 3,2011,107000,105 kW (143 CP),Benzina,manuala,14980
BMW 3,2014,123500,120 kW (163 CP),Diesel,manuala,12690
BMW 3,2014,195300,105 kW (143 CP),Diesel,automata,12890
BMW 3,2014,48450,100 kW (136 CP),Benzina,automata,19900
BMW 3,2008,132000,105 kW (143 CP),Diesel,manuala,8950
BMW 3,2014,50000,100 kW (136 CP),Benzina,manuala,16450
BMW 3,2009,185000,105 kW (143 CP),Benzina,manuala,6750
BMW 3,2007,220000,120 kW (163 CP),Diesel,manuala,5900
BMW 3,2015,126118,135 kW (184 CP),Benzina,automata,21500
BMW 3,2008,184361,130 kW (177 CP),Diesel,manuala,5900
